x,y,action,left_tolerance,right_tolerance,yaw_deg
-213.2622223,-248.3696136,,,,
-214.1949615,-249.4239807,,,,
-215.111908,-250.5722351,continue,,,
-216.0560761,-251.6125641,,,,
-217.6113129,-252.9148102,,,,
-219.410614,-254.3953247,,,,
-221.0018921,-255.5767975,continue,,,
-222.7549133,-256.4788208,,,,
-223.3670502,-256.729187,,,,
-223.9025116,-256.9953613,continue,,,
-224.1972351,-257.2612915,,,,
-224.6666107,-257.4958191,,,,
-226.5116119,-258.3814697,,,,
-228.3925629,-259.1546326,continue,,,
-230.302887,-259.7055664,,,,
-232.2868652,-260.1344604,,,,
-234.3677368,-260.3812866,continue,,,
-236.3743744,-260.5112,,,,
-238.2884216,-260.5662231,,,,
-240.2939301,-260.5977173,,,,
-242.3340759,-260.5814819,continue,,,
-244.380722,-260.5394592,,,,
-245.4796906,-260.5079651,,,,
-246.8610687,-260.4978333,continue,,,
-248.9092407,-260.4699097,,,,
-250.6335754,-260.6726685,,,,
-252.6003723,-261.1592407,,,,
-254.6872864,-261.8831177,continue,,,
-256.5395813,-262.6989746,,,,
-258.3440552,-263.7148132,,,,
-260.0761719,-264.8262329,continue,,,
-261.2391968,-265.8763428,,,,
-262.6193542,-267.3884888,,,,
-264.0024414,-269.0707703,,,,
-264.9104309,-270.3982849,continue,,,
-265.3911743,-271.7861633,,,,
-265.6864929,-272.697876,,,,
-265.982666,-273.4107666,continue,,,
-266.460022,-274.7894287,,,,
-266.8568115,-276.9116821,,,,
-267.1634827,-278.9407959,,,,
-267.2683411,-280.0571594,continue,,,
-267.4436035,-282.0508728,,,,
-267.6086426,-283.0670166,,,,
-267.7565002,-285.1796265,continue,,,
-267.8042297,-287.1333618,,,,
-267.9116211,-289.1575623,,,,
-268.0631714,-290.2079773,,,,
-268.1435242,-292.3073425,continue,,,
-267.9332275,-294.6981812,,,,
-267.8607178,-296.8354492,,,,
-267.6506653,-298.815979,continue,,,
-267.2831421,-300.7840881,,,,
-266.9002686,-302.8384399,,,,
-266.6108704,-304.6047363,,,,
-266.2466431,-306.6387024,continue,,,
-265.8419495,-308.6039429,,,,
-265.7696838,-308.8638611,,,,
-265.4211121,-310.1862488,continue,,,
-265.359436,-310.9290466,,,,
-265.3196411,-311.4989929,,,,
-265.2178345,-312.3722839,,,,
-264.9056702,-313.1593323,continue,,,
-264.651947,-313.9523621,,,,
-264.0778809,-316.1102295,,,,
-263.4283752,-318.0534363,continue,,,
-262.8745117,-319.8536682,,,,
-262.4350891,-321.1773376,,,,
-261.878418,-322.3094177,,,,
-261.3797913,-324.1729431,continue,,,
-261.1885071,-324.8812866,,,,
-260.5805664,-326.8276062,,,,
-260.0646667,-328.8088379,continue,,,
-259.5666199,-330.8164063,,,,
-259.3543396,-332.85672,,,,
-259.4563293,-335.1402893,,,,
-259.6226807,-336.6776733,continue,,,
-259.7764282,-338.1070557,,,,
-259.7076416,-339.2717285,,,,
-259.5747986,-339.8926697,continue,,,
-259.4222107,-340.4133606,,,,
-259.0435791,-341.2126465,,,,
-258.7337036,-341.7288818,,,,
-258.4420166,-342.0086975,continue,,,
-258.2463989,-342.1878357,,,,
-258.0384216,-342.2818909,,,,
-257.8165588,-342.3626404,continue,,,
-257.5850525,-342.417572,,,,
-256.9989319,-342.5170898,,,,
-256.6207886,-342.5146484,,,,
-256.3788452,-342.471283,continue,,,
-255.9967651,-342.3172302,,,,
-255.5990295,-342.1138306,,,,
-255.1982422,-341.8214111,continue,,,
-254.6031036,-341.209198,,,,
-253.8027039,-340.1954041,,,,
-252.7142181,-338.3928223,,,,
-251.7644653,-336.8227234,continue,,,
-251.0861206,-335.8074951,,,,
-250.2476654,-334.9578857,,,,
-248.8467407,-333.8354492,continue,,,
-247.4938965,-332.7018738,,,,
-246.7409515,-332.2148438,,,,
-245.6183929,-331.6813354,,,,
-243.8016968,-330.7612,continue,,,
-242.8654938,-330.2911377,,,,
-241.0658722,-329.4237976,,,,
-240.0506592,-328.9967041,continue,,,
-239.3449554,-328.7262268,,,,
-239.0378723,-328.565033,,,,
-238.8291016,-328.4453125,,,,
-238.4629364,-328.2077026,continue,,,
-238.0471802,-328.0028076,,,,
-237.6498871,-327.9722595,,,,
-237.4237213,-327.9267273,continue,,,
-237.1954193,-327.8874207,,,,
-236.6128082,-327.6798706,,,,
-236.260849,-327.4981079,,,,
-234.6813049,-326.8860474,continue,,,
-232.6935883,-326.2408752,,,,
-231.7945251,-325.9475098,,,,
-230.6990204,-325.7008972,continue,,,
-230.4907227,-325.7162476,,,,
-229.4634705,-325.5557556,,,,
-228.241745,-325.1425171,,,,
-226.7054443,-324.7663879,continue,,,
-224.7036133,-324.3475342,,,,
-222.6819458,-323.9136353,,,,
-220.6876068,-323.4310303,continue,,,
-218.80513,-322.7766724,,,,
-217.7749634,-322.4736328,,,,
-216.3994446,-322.0577698,,,,
-214.5090942,-321.2967529,continue,,,
-212.6786652,-320.4073792,,,,
-210.9040527,-319.414978,,,,
-210.3628845,-319.0662842,continue,,,
-208.6143341,-318.0794373,,,,
-206.6201935,-317.3166504,,,,
-204.6751709,-316.7149353,,,,
-204.0929565,-316.5609131,continue,,,
-203.4483795,-316.4305115,,,,
-202.6900482,-316.211731,,,,
-202.5059509,-316.077179,continue,,,
-202.31427,-316.0067749,,,,
-202.1000977,-315.9578247,,,,
-201.8187866,-315.8783875,,,,
-201.6114502,-315.8582459,continue,,,
-201.3889465,-315.8502197,,,,
-201.1510468,-315.8727112,,,,
-200.9095306,-315.8884583,continue,,,
-200.2832642,-315.8063965,,,,
-199.3921509,-315.6965637,,,,
-197.8764954,-315.4612427,,,,
-197.6665802,-315.4443359,continue,,,
-195.6199036,-315.2024841,,,,
-193.7353363,-314.8008118,,,,
-192.7666321,-314.6246033,continue,,,
-191.9824982,-314.469696,,,,
-191.2200623,-314.3216248,,,,
-189.1811676,-313.9200439,,,,
-187.8293457,-313.711731,continue,,,
-187.2033539,-313.6127319,,,,
-185.2145691,-313.1964417,,,,
-183.2080536,-312.9733887,continue,,,
-181.2512817,-312.6915283,,,,
-179.1848145,-312.1932983,,,,
-177.1558685,-311.6056519,,,,
-174.6784058,-310.7168579,continue,,,
-172.7118378,-310.0965576,,,,
-170.7875671,-309.4345398,,,,
-168.9929199,-308.4963684,continue,,,
-167.7200775,-307.8302917,,,,
-167.3470459,-307.5551758,,,,
-167.2366028,-307.3922424,,,,
-166.9255524,-307.1817322,continue,,,
-166.6592102,-307.0442505,,,,
-165.8404236,-306.7494202,,,,
-164.8522644,-306.1816406,continue,,,
-163.1304321,-305.167511,,,,
-161.4689484,-303.9857483,,,,
-159.8220978,-302.3951111,,,,
-158.3024597,-300.7573242,continue,,,
-157.0509338,-299.0286865,,,,
-155.703186,-297.0150757,,,,
-154.5576782,-295.2797546,continue,,,
-153.9391022,-294.229248,,,,
-153.2174988,-293.3463135,,,,
-152.556015,-292.7098999,,,,
-151.0787201,-291.1035767,continue,,,
-149.5343628,-289.216095,,,,
-148.2120667,-287.6486206,,,,
-147.7408142,-287.1865845,continue,,,
-146.7087402,-285.8892517,,,,
-146.1789246,-284.9902344,,,,
-145.8510742,-284.3250732,,,,
-144.9209595,-282.9178162,continue,,,
-143.8501282,-281.5876465,,,,
-143.6055908,-281.2601624,,,,
-143.4055328,-280.9668274,continue,,,
-143.134613,-280.6233521,,,,
-142.7650452,-280.1293335,,,,
-142.4255829,-279.7521057,,,,
-142.2510376,-279.6054077,continue,,,
-142.075882,-279.4653931,,,,
-141.7075653,-279.2335815,,,,
-141.5067444,-278.7907715,continue,,,
-141.1369781,-278.3920898,,,,
-140.9865723,-278.1886292,,,,
-140.792984,-277.9232483,,,,
-140.5599365,-277.6333618,continue,,,
-140.3481598,-277.341156,,,,
-140.1191711,-277.1047974,,,,
-139.9620361,-276.7223816,continue,,,
-139.0682526,-275.7112122,,,,
-137.7895355,-274.4061279,,,,
-136.1707153,-273.1663208,,,,
-134.5378876,-271.991333,continue,,,
-133.3487854,-271.3258667,,,,
-132.6749725,-271.0769348,,,,
-131.5154724,-270.8337402,continue,,,
-130.1905212,-270.5845337,,,,
-129.5447845,-270.4368286,,,,
-129.2340088,-270.4012451,,,,
-128.5292053,-270.2845154,continue,,,
-128.2759094,-270.2286072,,,,
-127.9459229,-270.1290894,,,,
-127.6825333,-270.0583496,continue,,,
-127.4823761,-270.0283203,,,,
-127.2504501,-270.0965881,,,,
-127.0243912,-270.0993652,,,,
-126.8026962,-270.0278015,continue,,,
-126.4743805,-269.9336243,,,,
-125.9440384,-269.7882996,,,,
-125.1798553,-269.8027344,continue,,,
-124.9090118,-269.7611084,,,,
-124.0930481,-269.6882629,,,,
-122.4575958,-269.4091187,,,,
-120.8848495,-269.0715942,continue,,,
-118.904953,-268.8290405,,,,
-116.8560028,-268.7238159,,,,
-115.9702606,-268.7160339,continue,,,
-113.9245605,-268.6000671,,,,
-112.3215637,-268.5251465,,,,
-110.2835846,-268.3023376,,,,
-108.2712173,-268.1777954,continue,,,
-106.5556107,-268.1531982,,,,
-104.4866943,-268.0278931,,,,
-102.2388687,-267.8917542,continue,,,
-100.1670685,-267.8574829,,,,
-98.0721817,-267.7619629,,,,
-96.91116333,-267.7354126,,,,
-94.83633423,-267.6389771,continue,,,
-92.75667572,-267.4656372,,,,
-89.507164,-267.1789551,,,,
-87.47025299,-267.0426636,continue,,,
-86.43723297,-267.0809326,,,,
-84.41254425,-267.0041809,,,,
-82.72875977,-266.7008667,,,,
-81.28626251,-266.2020569,continue,,,
-79.59934998,-265.4234619,,,,
-78.90533447,-264.937439,,,,
-77.99937439,-264.5077515,continue,,,
-77.37433624,-264.329895,,,,
-77.01052856,-264.3071899,,,,
-76.64451599,-264.2234802,,,,
-76.30389404,-264.1050415,continue,,,
-76.1013794,-264.0591431,,,,
-75.92352295,-263.9674377,,,,
-75.71466827,-263.8560181,continue,,,
-75.54555512,-263.7223816,,,,
-75.38292694,-263.5514832,,,,
-75.2105484,-263.3798218,,,,
-75.83930206,-263.0372314,continue,,,
-76.21045685,-263.6160584,,,,
-77.16326904,-263.0328064,,,,
-77.1688385,-262.9558411,continue,,,
-76.98407745,-263.0161133,,,,
-77.2670517,-262.7174683,,,,
-77.42285156,-262.3863525,,,,
-77.01209259,-262.1695251,continue,,,
-76.79151917,-261.9814148,,,,
-77.10461426,-261.8308716,,,,
-77.29106903,-261.9235229,continue,,,
-77.30056,-261.3303528,,,,
-77.2509613,-261.5330505,,,,
-76.73167419,-262.0710144,,,,
-76.81952667,-262.2745667,continue,,,
-76.7824707,-262.2067871,,,,
-76.4460144,-262.4102173,,,,
-76.4020462,-262.9970703,continue,,,
-76.47085571,-262.7189026,,,,
-76.29767609,-262.5956726,,,,
-76.14821625,-262.5725098,,,,
-76.18027496,-262.9848328,continue,,,
-76.3321991,-262.817749,,,,
-76.37727356,-263.2082214,,,,
-76.17565155,-262.9325867,continue,,,
-76.27259827,-262.7413635,,,,
-76.4504776,-263.0296326,,,,
-76.81040955,-263.1136169,,,,
-76.8722229,-263.3148193,continue,,,
-76.68786621,-263.0985718,,,,
-76.65583038,-263.0269775,,,,
-76.0326767,-263.0187683,continue,,,
-76.40746307,-263.0216064,,,,
-76.02980042,-263.1362915,,,,
-75.85510254,-263.005188,,,,
-75.95593262,-262.717865,continue,,,
-75.95875549,-262.7424011,,,,
-76.04115295,-262.2783203,,,,
-75.70787811,-262.2171326,continue,,,
-75.80258179,-261.8427124,,,,
-76.07489777,-262.1173096,,,,
-75.83956146,-261.6278076,,,,
-75.42059326,-261.4315186,continue,,,
-75.02078247,-261.6178894,,,,
-74.57245636,-261.3501892,,,,
-74.62734985,-261.1278076,continue,,,
-74.86427307,-261.2132263,,,,
