__time,/pcl_pose/header/stamp/nanosec,/pcl_pose/header/stamp/sec,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z
1730697607.58951,227954688,1728187196,0.99946899,-0.017648633,0.005432376,-0.026846862,0.092426911,-0.025049875,-0.012721157
1730697607.68467,328829184,1728187196,0.999312582,-0.017979794,0.005940349,-0.031871862,0.068625838,-0.03615211,0.000982296
1730697607.79112,429703168,1728187196,0.998982016,-0.019555682,0.007417233,-0.039968567,0.107266851,-0.030291101,-0.005019967
1730697608.09121,732279808,1728187196,0.997184627,-0.020111991,0.013786351,-0.070910279,0.199026465,-0.021066537,-0.001075266
1730697608.19233,833137408,1728187196,0.996033633,-0.02061846,0.016862529,-0.084897296,0.23424913,-0.019521857,-0.023080558
1730697608.29154,933997824,1728187196,0.99494866,-0.020791057,0.013772777,-0.097237779,0.284210354,-0.024569683,-0.013454874
1730697608.6358,236581120,1728187197,0.98964222,-0.021480817,0.015759735,-0.141061984,0.428077877,-0.044889063,-0.024021935
1730697608.69585,337433344,1728187197,0.987382684,-0.020844677,0.016233524,-0.15613265,0.482419431,-0.046749447,-0.037381969
1730697608.90387,539208192,1728187197,0.982532738,-0.021519727,0.013372154,-0.184357037,0.586434484,-0.068339281,-0.036127526
1730697609.02073,639997696,1728187197,0.980440968,-0.02135169,0.011258101,-0.195327556,0.650465548,-0.102436572,-0.026376704
1730697609.10174,740944896,1728187197,0.97798645,-0.020582047,0.012435879,-0.207278131,0.709289372,-0.110105447,-0.026661294
1730697609.20538,841735168,1728187197,0.974793403,-0.020249606,0.013603482,-0.221771777,0.769849241,-0.12455111,-0.050412856
1730697609.3029,942633216,1728187197,0.971898715,-0.019807929,0.014277403,-0.23412965,0.832966626,-0.139441162,-0.019445103
1730697609.40731,43460352,1728187198,0.965807977,-0.018630319,0.016872374,-0.258037148,0.873558283,-0.123453692,-0.058726389
1730697609.50536,144411392,1728187198,0.959562163,-0.019626994,0.015502294,-0.280383531,0.926001787,-0.144346505,-0.036902972
1730697609.73494,346001664,1728187198,0.941073521,-0.02052807,0.014604339,-0.337262431,1.01746273,-0.177333936,-0.051423322
1730697609.81114,446964480,1728187198,0.930768026,-0.020719717,0.016934185,-0.364629708,1.046129704,-0.227588207,-0.06193519
1730697610.01749,648598272,1728187198,0.909026718,-0.021875573,0.016506795,-0.415835778,1.127098322,-0.29973191,-0.056082815
1730697610.28458,850348032,1728187198,0.883083015,-0.023288698,0.013677882,-0.468438815,1.201844692,-0.373818576,-0.063464992
1730697610.4324,52141312,1728187199,0.855164757,-0.024627345,0.012389968,-0.517622662,1.25703311,-0.45504567,-0.058245175
1730697610.51603,152860416,1728187199,0.841729372,-0.025844029,0.010561756,-0.539177339,1.285968781,-0.49996987,-0.056264941
1730697610.72537,354610944,1728187199,0.813891169,-0.026356459,0.011174652,-0.580311651,1.347450495,-0.604759812,-0.05609519
1730697610.81801,455448576,1728187199,0.798109786,-0.025996616,0.011208377,-0.601846619,1.362089157,-0.671076298,-0.057401787
1730697610.91421,556304896,1728187199,0.784160419,-0.027483836,0.010101615,-0.619866976,1.388165355,-0.725739062,-0.043214124
1730697611.02073,657170176,1728187199,0.770339534,-0.027247681,0.011292277,-0.636951404,1.406444073,-0.78030479,-0.042491443
1730697611.12324,758160896,1728187199,0.753705134,-0.027790016,0.011464074,-0.656524834,1.416078448,-0.830107331,-0.052462865
1730697611.25143,858872832,1728187199,0.738307529,-0.029989327,0.0089243,-0.673738103,1.423391581,-0.873933136,-0.05580486
1730697611.43904,60652032,1728187200,0.699320144,-0.027943758,0.011794978,-0.714164851,1.440392494,-0.976330459,-0.037857715
1730697611.52893,161549824,1728187200,0.67969676,-0.029969272,0.01019831,-0.732809804,1.451910138,-1.037186742,-0.040328484
1730697611.62105,262323712,1728187200,0.663606646,-0.028216869,0.011275544,-0.747464288,1.444795609,-1.097106457,-0.044211756
1730697611.74732,363210496,1728187200,0.641612051,-0.030264373,0.009900862,-0.766368049,1.447013259,-1.15397048,-0.054601479
1730697611.83099,464164352,1728187200,0.620199715,-0.029860415,0.009633153,-0.783816192,1.441645861,-1.196033597,-0.032005347
1730697612.03699,665774592,1728187200,0.581522374,-0.028315651,0.009747187,-0.812978996,1.405616879,-1.288335443,-0.032658428
1730697612.13055,766597888,1728187200,0.563339984,-0.028244421,0.009661861,-0.825685708,1.384976625,-1.340397,-0.037299145
1730697612.26086,867461120,1728187200,0.546502109,-0.028405761,0.008996887,-0.836927428,1.367955089,-1.381525517,-0.031951144
1730697612.32773,968475904,1728187200,0.524938587,-0.027242471,0.009215985,-0.850654126,1.355479479,-1.429512978,-0.026205558
1730697612.61037,170087424,1728187201,-0.476681545,0.028994833,-0.00678407,0.878571561,1.312220454,-1.499296069,-0.023847045
1730697612.68436,270996736,1728187201,-0.454526187,0.029757458,-0.006681026,0.890211093,1.274032116,-1.547483325,-0.038333338
1730697612.75863,371813120,1728187201,-0.434470156,0.029370712,-0.005620787,0.900189673,1.25869143,-1.590573549,-0.02084144
1730697612.83812,472647424,1728187201,-0.409269835,0.028874715,-0.004885113,0.911943278,1.232548356,-1.619380355,-0.037238155
1730697612.94164,573492224,1728187201,-0.384771204,0.032316801,-0.002753453,0.922441963,1.203709126,-1.652160168,-0.03988608
1730697613.03851,674468096,1728187201,-0.360785582,0.032239868,-0.002006635,0.932089228,1.186051607,-1.675725341,-0.020770801
1730697613.1389,775225856,1728187201,-0.338280028,0.032145776,-0.001066267,0.940495688,1.137681007,-1.713312984,-0.020801237
1730697613.25017,876051968,1728187201,-0.317358042,0.030187056,-0.000992002,0.947824687,1.114523172,-1.748161316,-0.01273057
1730697613.34567,976949760,1728187201,-0.290129589,0.028002015,0.000343852,0.956577528,1.082625866,-1.780379772,-0.012664397
1730697613.44461,77806080,1728187202,-0.263128296,0.029243892,0.000768497,0.964317224,1.039237261,-1.801550984,-0.011498372
1730697613.55435,178667520,1728187202,-0.235175542,0.027335053,0.00106134,0.971567886,0.995654523,-1.83762002,0.006212088
1730697613.76205,380482048,1728187202,-0.188035447,0.027946562,0.001446819,0.981763486,0.892325222,-1.851354957,0.017082939
1730697613.85119,481220608,1728187202,-0.165706608,0.032480531,0.003358897,0.985634331,0.805261493,-1.875357866,0.000282506
1730697613.94964,582108160,1728187202,-0.150318672,0.031856591,0.002589817,0.988120816,0.797174692,-1.873140931,0.009169703
1730697614.16518,783795200,1728187202,-0.111022766,0.03006318,0.002738627,0.993359279,0.623669922,-1.910972357,0.012885241
1730697614.45743,86359808,1728187203,-0.0617096,0.027230384,0.004111641,0.99771415,0.460242897,-1.945491195,0.034505486
1730697614.57056,187217664,1728187203,-0.045535245,0.027978436,0.004263448,0.998561749,0.416260213,-1.943654537,0.029614843
1730697614.87635,489826048,1728187203,0.030324209,0.026285975,0.006227562,0.999175015,0.306661636,-1.941245556,0.032280773
1730697615.06674,691507712,1728187203,0.087348387,0.017268602,0.006687621,0.996005694,0.187488809,-1.881767273,0.016026495
1730697615.1588,792381184,1728187203,0.123224279,0.017971089,0.005249627,0.992202241,0.146120697,-1.836897016,0.030159365
1730697615.28891,893254656,1728187203,0.136329552,0.019008266,0.006299355,0.990461132,0.104992688,-1.832314372,0.032824624
1730697615.35347,994222336,1728187203,0.1515982,0.028675137,0.005771736,0.988009291,0.094008997,-1.844931006,0.053350903
1730697615.45985,95089664,1728187204,0.166300814,0.022915457,0.008060339,0.985775806,0.025507269,-1.792226434,0.021000652
1730697615.55293,195801856,1728187204,0.177883841,0.022626857,0.0098822,0.983741685,-0.019305568,-1.813094497,0.052189779
1730697615.97183,599239936,1728187204,0.244633555,0.022795807,0.010375034,0.969292074,-0.202576607,-1.665837646,0.046150938
1730697616.16864,800955904,1728187204,0.287397655,0.022696919,0.01084241,0.957480991,-0.297457606,-1.620288014,0.030281464
1730697616.26306,901822208,1728187204,0.308264063,0.018806485,0.010094779,0.951061352,-0.337596416,-1.587963223,0.038988046
1730697616.3734,2712576,1728187205,0.328312051,0.01795706,0.010034902,0.944345287,-0.370259225,-1.590083957,0.028261634
1730697616.4764,103578112,1728187205,0.346924852,0.014624268,0.012098041,0.93770087,-0.401777059,-1.537218928,0.03975188
1730697616.56747,204483072,1728187205,0.365122501,0.011415336,0.014481857,0.930776831,-0.457849652,-1.513857484,0.021493442
1730697616.97286,607830528,1728187205,0.411360848,0.01356965,0.0158313,0.91123405,-0.581754923,-1.403180242,0.056041252
1730697617.20091,809569792,1728187205,0.429974438,0.008768099,0.021276661,0.902547714,-0.651074111,-1.32296443,0.042975083
1730697617.36812,11278848,1728187206,0.446276825,0.009396189,0.021139568,0.894595914,-0.711266577,-1.259695411,0.046560518
1730697617.48436,112139008,1728187206,0.455433289,0.010750609,0.020832578,0.889961213,-0.721481085,-1.238361359,0.038050685
1730697617.56835,213086464,1728187206,0.465660452,0.010493882,0.020205183,0.884670547,-0.756498635,-1.205851674,0.04830822
